"database","workload","nodes","threads","duration","throughput","readOperationCount","readAvgLatency","readMinLatency","readMaxLatency","readPer95Latency","readPer99Latency","insertOperationCount","insertAvgLatency","insertMinLatency","insertMaxLatency","insertPer95Latency","insertPer99Latency","updateOperationCount","updateAvgLatency","updateMinLatency","updateMaxLatency","updatePer95Latency","updatePer99Latency","rmwOperationCount","rmwAvgLatency","rmwMinLatency","rmwMaxLatency","rmwPer95Latency","rmwPer99Latency"
"Citus","A",1,66,60,155.953514,4729,170172.7585,235,923135,406783,523263,0,0,0,0,0,0,4772,655588.9623,139008,26705919,1015295,6500351,0,0,0,0,0,0
"Citus","B",1,66,60,258.484518,14841,228822.4983,154,1348607,648191,841727,0,0,0,0,0,0,803,666324.9614,242816,1655807,1075199,1305599,0,0,0,0,0,0
"Citus","C",1,66,60,340.042373,20544,192509.7149,145,1489919,643583,865279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",1,66,60,223.522736,13788,57376.20895,225,440063,221951,310783,0,0,0,0,0,0,6898,462990.9191,76608,33849343,535039,7389183,6898,520220.9707,102848,33849343,630783,7389183
"Citus","D",1,66,60,1432.27422,82052,27139.66609,131,1078271,209663,347903,4317,396964.6477,152064,1170431,584191,738303,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,3,60,107.24995,3257,14560.49002,916,962047,54879,91391,0,0,0,0,0,0,3181,41454.37378,2684,1549311,106367,200575,0,0,0,0,0,0
"Citus","B",3,3,60,221.318065,12770,11726.17964,826,496895,50751,79935,0,0,0,0,0,0,720,42597.62917,3930,1130495,103615,178687,0,0,0,0,0,0
"Citus","C",3,3,60,277.604782,16671,10771.4824,822,538623,49247,81535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,3,60,149.19852,8954,8071.415457,841,304895,37311,61855,0,0,0,0,0,0,4460,24001.41345,2582,1470463,55647,136191,4460,31944.24843,3790,1604607,77631,178687
"Citus","D",3,3,60,544.457371,31163,4317.803998,751,200831,21727,46079,1597,28216.33563,2680,1216511,67391,184191,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,12,60,251.872441,3581,33853.81765,852,1540095,125951,218623,0,0,0,0,0,0,3717,156488.5295,15304,1717247,312319,456447,0,0,0,0,0,0
"Citus","B",3,12,60,446.561477,12311,35082.38096,745,563199,164735,254591,0,0,0,0,0,0,651,420633.9539,75136,1864703,777727,1646591,0,0,0,0,0,0
"Citus","C",3,12,60,601.434954,17483,40119.54933,670,1222655,197503,374271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",3,12,60,483.207528,14036,10297.54681,697,325119,49151,83071,0,0,0,0,0,0,7055,78454.04167,8504,1592319,155263,479231,14533,44109.68444,1062,1812479,129343,267775
"Citus","D",3,12,60,1434.278115,40450,6395.920766,536,664575,40895,78911,2225,191127.6908,4268,1985535,503807,906751,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",3,21,60,279.624326,4014,46474.08122,773,1593343,188031,277759,0,0,0,0,0,0,4023,261085.1534,16112,1982463,469759,679423,0,0,0,0,0,0
