timestamp,database,workload,nodes,threads,duration,throughput,readOperationCount,readAvgLatency,readMinLatency,readMaxLatency,readPer95Latency,readPer99Latency,insertOperationCount,insertAvgLatency,insertMinLatency,insertMaxLatency,insertPer95Latency,insertPer99Latency,updateOperationCount,updateAvgLatency,updateMinLatency,updateMaxLatency,updatePer95Latency,updatePer99Latency,scanOperationCount,scanAvgLatency,scanMinLatency,scanMaxLatency,scanPer95Latency,scanPer99Latency,rmwOperationCount,rmwAvgLatency,rmwMinLatency,rmwMaxLatency,rmwPer95Latency,rmwPer99Latency
2018-05-15 07:45:55,cockroachdb,a,3,3,60.000000,6.774752,180.000000,128145.516667,746.000000,3389439.000000,386303.000000,518399.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,227.000000,161582.026432,40768.000000,1509375.000000,475647.000000,815615.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 07:48:50,cockroachdb,b,3,3,60.000000,33.125604,1906.000000,28171.695698,602.000000,540671.000000,253823.000000,350207.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.000000,74798.243902,35776.000000,888319.000000,100991.000000,441855.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 07:51:41,cockroachdb,c,3,3,60.000000,46.245375,2775.000000,21557.370450,659.000000,859135.000000,66175.000000,335615.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 07:54:33,cockroachdb,f,3,3,60.000000,1.253495,78.000000,758261.205128,1067.000000,6868991.000000,4468735.000000,4931583.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,75212.888889,37312.000000,273151.000000,251007.000000,273151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,1016900.444444,43328.000000,6967295.000000,4263935.000000,6967295.000000
2018-05-15 07:57:26,cockroachdb,d,3,3,60.000000,3.034780,176.000000,250655.789773,857.000000,5599231.000000,427519.000000,3651583.000000,13.000000,1384793.846154,50336.000000,5603327.000000,5066751.000000,5603327.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:03:02,cockroachdb,a,3,12,60.000000,19.616644,588.000000,142948.785714,695.000000,4685823.000000,571391.000000,3606527.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.000000,262046.783784,39520.000000,9920511.000000,708607.000000,1740799.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:05:54,cockroachdb,b,3,12,60.000000,55.022892,3181.000000,66472.277586,536.000000,5169151.000000,237183.000000,654335.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,136.000000,209616.823529,42624.000000,911359.000000,629247.000000,858623.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:08:46,cockroachdb,c,3,12,60.000000,84.019934,5058.000000,47438.597667,581.000000,2494463.000000,217215.000000,591359.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:11:37,cockroachdb,f,3,12,60.000000,17.404037,1046.000000,171320.039197,678.000000,6955007.000000,590847.000000,4198399.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,540.000000,111737.629630,38336.000000,379903.000000,231295.000000,287999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,540.000000,300370.014815,41568.000000,7061503.000000,733695.000000,4468735.000000
2018-05-15 08:14:29,cockroachdb,d,3,12,60.000000,21.522711,1223.000000,164664.058872,642.000000,7380991.000000,542719.000000,4345855.000000,72.000000,531954.666667,41664.000000,5144575.000000,4163583.000000,5046271.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:20:07,cockroachdb,a,3,21,60.000000,33.354384,1003.000000,108371.110668,609.000000,4894719.000000,521471.000000,2539519.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1004.000000,308697.354582,44448.000000,5738495.000000,817151.000000,4095999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-15 08:22:58,cockroachdb,b,3,21,60.000000,71.743819,4108.000000,83073.920156,533.000000,6381567.000000,297727.000000,770559.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.000000,362810.370370,40800.000000,5955583.000000,1134591.000000,1553407.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
