timestamp,database,workload,nodes,threads,target,duration,throughput,readOperationCount,readAvgLatency,readMinLatency,readMaxLatency,readPer95Latency,readPer99Latency,insertOperationCount,insertAvgLatency,insertMinLatency,insertMaxLatency,insertPer95Latency,insertPer99Latency,updateOperationCount,updateAvgLatency,updateMinLatency,updateMaxLatency,updatePer95Latency,updatePer99Latency,scanOperationCount,scanAvgLatency,scanMinLatency,scanMaxLatency,scanPer95Latency,scanPer99Latency,rmwOperationCount,rmwAvgLatency,rmwMinLatency,rmwMaxLatency,rmwPer95Latency,rmwPer99Latency
2018-05-07 19:56:38,postgres,c,1,50,300,60.000000,298.117971,17947.000000,27476.780186,192.000000,455423.000000,137727.000000,210303.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 19:58:39,postgres,c,1,50,400,60.000000,391.592592,23745.000000,74439.130849,154.000000,2138111.000000,302335.000000,476671.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:00:40,postgres,c,1,50,500,60.000000,466.550638,28147.000000,100477.220485,145.000000,1269759.000000,393471.000000,580607.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:02:41,postgres,f,1,50,100,60.000000,98.868610,5986.000000,34135.602072,304.000000,267519.000000,119807.000000,170623.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2972.000000,151815.925976,14176.000000,741375.000000,244095.000000,319743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2972.000000,186175.619112,14584.000000,742399.000000,310527.000000,387839.000000
2018-05-07 20:04:42,postgres,f,1,50,200,60.000000,198.610720,11980.000000,38497.895576,243.000000,332799.000000,139903.000000,193791.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6055.000000,176840.782164,31376.000000,1532927.000000,266495.000000,492799.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6055.000000,215982.359042,35712.000000,1533951.000000,352767.000000,497919.000000
2018-05-07 20:06:44,postgres,f,1,50,300,60.000000,196.114617,11902.000000,41060.799529,203.000000,488447.000000,182911.000000,280319.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5975.000000,417822.966360,77440.000000,12460031.000000,669695.000000,3651583.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5975.000000,459445.395816,110080.000000,12460031.000000,695807.000000,3653631.000000
2018-05-07 20:08:48,postgres,f,1,50,400,60.000000,213.733636,12914.000000,34043.194982,207.000000,347903.000000,140031.000000,208255.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6456.000000,394637.258984,49408.000000,26525695.000000,456959.000000,6623231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6456.000000,428277.489467,60448.000000,26525695.000000,507135.000000,6623231.000000
2018-05-07 20:10:49,postgres,f,1,50,500,60.000000,194.558506,12793.000000,35288.187524,206.000000,750079.000000,140159.000000,211327.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6386.000000,429423.812089,55936.000000,31260671.000000,653311.000000,6787071.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6386.000000,465009.393047,56352.000000,31260671.000000,654335.000000,6787071.000000
2018-05-07 20:12:55,postgres,d,1,50,100,60.000000,98.904549,5705.000000,5227.831727,296.000000,282367.000000,35775.000000,76287.000000,281.000000,60746.419929,9000.000000,234239.000000,144639.000000,212607.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:14:57,postgres,d,1,50,200,60.000000,198.457967,11391.000000,3978.604337,252.000000,181247.000000,26799.000000,63807.000000,297.000000,55325.569024,8112.000000,243967.000000,125567.000000,153087.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:16:58,postgres,d,1,50,300,60.000000,298.234542,17082.000000,6594.350369,223.000000,283647.000000,49919.000000,109567.000000,297.000000,98519.474747,13488.000000,293887.000000,179839.000000,227839.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:18:59,postgres,d,1,50,400,60.000000,397.809976,22731.000000,5345.637192,221.000000,254463.000000,38239.000000,97407.000000,335.000000,97670.602985,8904.000000,292607.000000,171135.000000,210047.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:21:01,postgres,d,1,50,500,60.000000,496.818567,28399.000000,9267.683017,169.000000,677887.000000,62719.000000,179711.000000,296.000000,322664.864865,94592.000000,772095.000000,592383.000000,754687.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:26:41,postgres,a,3,50,100,60.000000,98.259405,1488.000000,33252.227823,1024.000000,2092031.000000,54047.000000,1202175.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1606.000000,83465.700498,2698.000000,3088383.000000,282623.000000,1783807.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:28:42,postgres,a,3,50,200,60.000000,198.357800,3137.000000,14968.171820,920.000000,280831.000000,71167.000000,142591.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3147.000000,60534.816015,2782.000000,517631.000000,190591.000000,295423.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:30:44,postgres,a,3,50,300,60.000000,276.378601,4314.000000,37192.741539,721.000000,675327.000000,187903.000000,404223.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4306.000000,374016.921737,3124.000000,19824639.000000,962559.000000,5169151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2018-05-07 20:32:46,postgres,a,3,50,400,60.000000,354.314573,5630.000000,27078.970870,758.000000,555519.000000,128063.000000,321279.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5623.000000,285756.555220,4360.000000,14942207.000000,594943.000000,3293183.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
